candidate_id,canonical_name,entity_type,entity_reason,entity_confidence,record_kind,programme_status,application_status,status_basis,opening_date,closing_date,official_page_url,application_url,source,ministry,implementing_agency,startup_relevance,startup_relevance_confidence,parent_candidate_id,parent_master_id,parent_scheme_name,parent_resolution,related_candidate_id,existing_master_id,existing_public_record,evidence_id,evidence_excerpt,status_evidence,source_evidence_urls,quality_flags,admin_queue,publication_eligible,apply_action_allowed,duplicate_key
meity380_984e9cad2ca6f8bdc09f,842D78Cb C09E 4002 Afe8 690A435703F7,UNRESOLVED_NON_CALL,Insufficient scheme/call evidence,0.35,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,,False,meityev_22536bdec8d8bd1353ae,NOT_QUEUE_ELIGIBLE_AFTER_GOVERNED_CLASSIFICATION 842D78Cb C09E 4002 Afe8 690A435703F7 https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,NOT_QUEUE_ELIGIBLE_AFTER_GOVERNED_CLASSIFICATION 842D78Cb C09E 4002 Afe8 690A435703F7 https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,,EXCLUDED_EVIDENCE,False,False,055ea76665b390cf32dcd021b533941c60f5fe12f5ed71a1a9b5bcb0776a03f1
meity380_8b07e897b68288ced608,A0Faffb5 Ffd9 4448 A936 1936143Bd8A3,UNRESOLVED_NON_CALL,Insufficient scheme/call evidence,0.35,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,,False,meityev_e99f7a82df7f563d43d2,NOT_QUEUE_ELIGIBLE_AFTER_GOVERNED_CLASSIFICATION A0Faffb5 Ffd9 4448 A936 1936143Bd8A3 https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,NOT_QUEUE_ELIGIBLE_AFTER_GOVERNED_CLASSIFICATION A0Faffb5 Ffd9 4448 A936 1936143Bd8A3 https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,,EXCLUDED_EVIDENCE,False,False,80690ccec6b6f992d48dc9d0837c5eedd19c8e2b28bffd4b1a1e9f958f811ee6
meity380_149dc3d55b765868223a,Access Denied,UNRESOLVED_NON_CALL,Insufficient scheme/call evidence,0.35,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://www.meity.gov.in/,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,,False,meityev_3c4957b17ad8124949f8,"Access Denied Access Denied You don't have permission to access ""http://www.meity.gov.in/"" on this server. Reference #18.7220f17.1784027070.f06906f https://errors.edgesuite.net/18.7220f17.1784027070.f06906f","Access Denied Access Denied You don't have permission to access ""http://www.meity.gov.in/"" on this server. Reference #18.7220f17.1784027070.f06906f https://errors.edgesuite.net/18.7220f17.1784027070.f06906f",https://www.meity.gov.in/,,EXCLUDED_EVIDENCE,False,False,1fefad62487a0f88a80202c6f3aa439d8a761f099b2fa44f6094fb90a428f388
meity380_dbd6d6b6867db54ce8fc,Access Denied,UNRESOLVED_NON_CALL,Insufficient scheme/call evidence,0.35,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://www.meity.gov.in/offerings?page=0,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,,False,meityev_d03f1421e68b3747f037,"meity_a08e2f7c36d1c8c69a51 DISCOVERY_INDEX 0.99 Access Denied Access Denied https://www.meity.gov.in/offerings?page=0 https://www.meity.gov.in/offerings?page=0 seed 200 text/html 0 1 0 0 1 True LISTING_OR_INDEX_PAGE False 0.0 2026-07-13T06:51:54+00:00 Your website description goes here. Access Denied You don't have permission to access ""http://www.meity.gov.in/offerings?"" on this server. Reference #18.14f4df17.1783925514.630de99 https://errors.edgesuite.net/18.14f4df17.1783925514.630de99","meity_a08e2f7c36d1c8c69a51 DISCOVERY_INDEX 0.99 Access Denied Access Denied https://www.meity.gov.in/offerings?page=0 https://www.meity.gov.in/offerings?page=0 seed 200 text/html 0 1 0 0 1 True LISTING_OR_INDEX_PAGE False 0.0 2026-07-13T06:51:54+00:00 Your website description goes here. Access Denied You don't have permission to access ""http://www.meity.gov.in/offerings?"" on this server. Reference #18.14f4df17.1783925514.630de99 https://errors.edgesuite.net/18.14f4df17.1783925514.630de99",https://www.meity.gov.in/offerings?page=0,,EXCLUDED_EVIDENCE,False,False,e7fc96a4ed3f0b39271f7c43c73a60f6ddf506480e155d527cf1a89164fb090d
meity380_93eca9d26c2bcff42668,Access Denied,UNRESOLVED_NON_CALL,Insufficient scheme/call evidence,0.35,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://www.meity.gov.in/sitemap.xml,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,,False,meityev_368ea240e1109650bf09,"meity_d1c2239305c4652c8d30 DISCOVERY_INDEX 0.99 Access Denied Access Denied https://www.meity.gov.in/sitemap.xml https://www.meity.gov.in/sitemap.xml seed 200 text/html 0 0 0 0 0 True SITEMAP_OR_XML_INDEX False 0.0 2026-07-13T06:52:14+00:00 Access Denied You don't have permission to access ""http://www.meity.gov.in/sitemap.xml"" on this server. Reference #18.1ff4df17.1783925534.7141582 https://errors.edgesuite.net/18.1ff4df17.1783925534.7141582","meity_d1c2239305c4652c8d30 DISCOVERY_INDEX 0.99 Access Denied Access Denied https://www.meity.gov.in/sitemap.xml https://www.meity.gov.in/sitemap.xml seed 200 text/html 0 0 0 0 0 True SITEMAP_OR_XML_INDEX False 0.0 2026-07-13T06:52:14+00:00 Access Denied You don't have permission to access ""http://www.meity.gov.in/sitemap.xml"" on this server. Reference #18.1ff4df17.1783925534.7141582 https://errors.edgesuite.net/18.1ff4df17.1783925534.7141582",https://www.meity.gov.in/sitemap.xml,,EXCLUDED_EVIDENCE,False,False,0c3e765f39c12f759deca64325eb2a23c1edf362d6713237a2681f7be1446f4b
meity380_8c5d3afe60af2b171047,Barrier-less Free-flow Tolling System and Intelligent Traffic Management System for IHMCL,ORGANISATION_PROFILE,Organisation profile page,0.99,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,2023-03-29,2023-03-29,https://msh.meity.gov.in/program/mshcorporate/ihmcl,https://msh.meity.gov.in/about/applyforthelogo,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.86,,,,UNRESOLVED,,meitycall_b2b15a80eaf08c64193e,False,meityev_ab452bb26518003dced6,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 PROGRAMS > MSH CORPORATE > IHMCL Barrie",http://ict-ipr.in/;https://bhashini.gov.in/;https://data.gov.in/;https://dic.gov.in/;https://digitalindia.gov.in/;https://ism.gov.in/;https://meity.dashboard.nic.in/;https://msh.meity.gov.in/;https://msh.meity.gov.in/about/applyforthelogo;https://msh.meity.gov.in/about/contactus;https://msh.meity.gov.in/about/mshlogousageguidelines;https://msh.meity.gov.in/about/newsletter;https://msh.meity.gov.in/about/organisationprofile;https://msh.meity.gov.in/about/team;https://msh.meity.gov.in/booking/coworking;https://msh.meity.gov.in/booking/equipment;https://msh.meity.gov.in/booking/guesthouse;https://msh.meity.gov.in/booking/lab;https://msh.meity.gov.in/career;https://msh.meity.gov.in/event-partner,,EXCLUDED_EVIDENCE,False,False,2098ce0b7ffcc6b783103bc194f23bc349ff2c9eb66569a919f6ab63c5aae46e
meity380_cb041d834c58252d003d,BHUMI – BSF,ORGANISATION_PROFILE,Organisation profile page,0.99,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,2023-03-29,2023-03-29,https://msh.meity.gov.in/program/mshcorporate/bhumi,https://msh.meity.gov.in/about/applyforthelogo,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.79,,,,UNRESOLVED,,meitycall_a95e53af41b5c53999cf,False,meityev_9efbcbdd6fedf36a73c8,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 PROGRAMS > MSH CORPORATE > BHUMI – BSF ",http://ict-ipr.in/;https://bhashini.gov.in/;https://data.gov.in/;https://dic.gov.in/;https://digitalindia.gov.in/;https://ism.gov.in/;https://meity.dashboard.nic.in/;https://msh.meity.gov.in/;https://msh.meity.gov.in/about/applyforthelogo;https://msh.meity.gov.in/about/contactus;https://msh.meity.gov.in/about/mshlogousageguidelines;https://msh.meity.gov.in/about/newsletter;https://msh.meity.gov.in/about/organisationprofile;https://msh.meity.gov.in/about/team;https://msh.meity.gov.in/booking/coworking;https://msh.meity.gov.in/booking/equipment;https://msh.meity.gov.in/booking/guesthouse;https://msh.meity.gov.in/booking/lab;https://msh.meity.gov.in/career;https://msh.meity.gov.in/event-partner,,EXCLUDED_EVIDENCE,False,False,633fed98fc59ef2d0c23345c72843f168b7cac75ead73f69533341d54ef3f182
meity380_5e10e35050d3293afed9,Brussels,EVENT_OR_CONFERENCE,Event/conference page without call markers,0.88,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://msh.meity.gov.in/program/mshinternational/brussels,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,meitycall_98f3c3720f15dae91ade,False,meityev_9dc3790ca8f1a965e856,"meitycall_98f3c3720f15dae91ade Brussels MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshinternational/brussels VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Brussels Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN As part of its mission to accelerate international market access and foster long-term global partnerships, MeitY Startup Hub led a high-impact delegation of Indian deep-tech startups to Brussels from May 26–29, 2025, under the MeitY Global Startup Bridge Progra","meitycall_98f3c3720f15dae91ade Brussels MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshinternational/brussels VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Brussels Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN As part of its mission to accelerate international market access and foster long-term global partnerships, MeitY Startup Hub led a high-impact delegation of Indian deep-tech startups to Brussels from May 26–29, 2025, under the MeitY Global Startup Bridge Program. This edition aimed to connect Indian startups with the European innovation ecosystem through cross-border collaboration, policy engagement, and knowledge exchange.The program focused on enabling market access, forging corporate and government partnerships, unlocking investment opportunities, faci",https://msh.meity.gov.in/program/mshinternational/brussels,,EXCLUDED_EVIDENCE,False,False,f191da33039cb75c60be9f3ef3961560323621ab119b4400ae5d32b6eb956a85
meity380_025bbec9cdbdda5e66c8,Challenges,DIRECTORY_OR_LISTING,Generic directory/listing identity,0.99,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,,,https://msh.meity.gov.in/challenges,,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,RELEVANCE_REVIEW,0.42,,,,UNRESOLVED,,meitycall_cbb7e8cd8fe24b00afd9,False,meityev_221708594e175e88bcf3,meitycall_cbb7e8cd8fe24b00afd9 Challenges MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE STANDALONE_OFFICIAL_CALL https://msh.meity.gov.in/challenges VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.800 True False Challenges MeityStartupHub official_crawl network_html DEADLINE_REQUIRES_VERIFICATION;NO_PUBLIC_APPLY_ROUTE dbd42fbf00275c5cf21752b6ec0ca0786e4d59caa94908196e5255a5ea09547c,meitycall_cbb7e8cd8fe24b00afd9 Challenges MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE STANDALONE_OFFICIAL_CALL https://msh.meity.gov.in/challenges VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.800 True False Challenges MeityStartupHub official_crawl network_html DEADLINE_REQUIRES_VERIFICATION;NO_PUBLIC_APPLY_ROUTE dbd42fbf00275c5cf21752b6ec0ca0786e4d59caa94908196e5255a5ea09547c,https://msh.meity.gov.in/challenges,,EXCLUDED_EVIDENCE,False,False,05d8e47f850fdddc3405302909d291ebeb8db28a24ff549042ed5f531ce3bfa5
meity380_a221b9e5ce8f2b75d694,Click on the tabs to know more:,EVENT_OR_CONFERENCE,Event/conference page without call markers,0.88,EVIDENCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,Excluded page role,2023-03-29,2023-03-29,https://msh.meity.gov.in/program/mshinternational/brussels,https://msh.meity.gov.in/about/applyforthelogo,MeitY Startup Hub,Ministry of Electronics and Information Technology (MeitY),MeitY Startup Hub,STARTUP_DIRECT,0.79,,,,UNRESOLVED,,meitycall_98f3c3720f15dae91ade,False,meityev_61ddb32757a37728f330,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 As part of its mission to accelerate in",http://ict-ipr.in/;https://bhashini.gov.in/;https://data.gov.in/;https://dic.gov.in/;https://digitalindia.gov.in/;https://ism.gov.in/;https://meity.dashboard.nic.in/;https://msh.meity.gov.in/;https://msh.meity.gov.in/about/applyforthelogo;https://msh.meity.gov.in/about/contactus;https://msh.meity.gov.in/about/mshlogousageguidelines;https://msh.meity.gov.in/about/newsletter;https://msh.meity.gov.in/about/organisationprofile;https://msh.meity.gov.in/about/team;https://msh.meity.gov.in/assets/Brussels RD Incentive Guide.pdf;https://msh.meity.gov.in/assets/Investment Landscape in Brussels.pdf;https://msh.meity.gov.in/assets/Navigating Work permits in Brussels.pdf;https://msh.meity.gov.in/assets/Stay Coprorate connected.pdf;https://msh.meity.gov.in/assets/Why Brussels.pdf;https://msh.meity.gov.in/booking/coworking,,EXCLUDED_EVIDENCE,False,False,f4ddd48f15192d815df8a4b19d38ee3ea0ad5ae265c49cb4f750ee99ee9ded8b
